model,run_name,max_vocab_size,max_seq_len,embed_dim,num_filters,filter_sizes,dropout,batch_size,learning_rate,num_epochs,freeze_embeddings,train_accuracy,train_f1,val_accuracy,val_f1,test_accuracy,test_f1
TextCNN,bs128_do0.75_lr0.001_nf100_fs3-4-5,5000,64,50,100,"3,4,5",0.75,128,0.001,5,False,0.892632061418586,0.8554638017566529,0.8704181145611478,0.824675131978481,0.8683011248918373,0.8224828596550059
TextCNN,bs128_do0.75_lr0.001_nf100_fs4-5-6,5000,64,50,100,"4,5,6",0.75,128,0.001,5,False,0.9013570364550083,0.8670123259411217,0.8701939244479319,0.8242077605637278,0.8686472454571675,0.8216911752593165
TextCNN,bs128_do0.8_lr0.0005_nf50_fs3-4-5,5000,64,50,50,"3,4,5",0.8,128,0.0005,5,False,0.8741999377956752,0.8284725545095278,0.8623472704853716,0.8111522140804688,0.8583213152581483,0.8059998947170312
TextCNN,bs128_do0.8_lr0.0005_nf50_fs4-5-6,5000,64,50,50,"4,5,6",0.8,128,0.0005,5,False,0.8762297631324788,0.8309990748683989,0.8636924111646677,0.8135597729599596,0.8595904239976925,0.8073383242683473
TextCNN,bs32_do0.5_lr0.0005_nf50_fs3-4-5,5000,64,50,50,"3,4,5",0.5,32,0.0005,5,False,0.906251534646172,0.8742658580316309,0.8713148750140118,0.825530968687262,0.8700317277184886,0.8235763841937928
TextCNN,bs32_do0.5_lr0.0005_nf50_fs4-5-6,5000,64,50,50,"4,5,6",0.5,32,0.0005,5,False,0.8919772790518752,0.8542263092851742,0.8675036430893398,0.8208239921726457,0.8676665705220652,0.8211375920588003
TextCNN,bs32_do0.5_lr0.0005_nf100_fs3-4-5,5000,64,50,100,"3,4,5",0.5,32,0.0005,5,False,0.9146163793809032,0.8860496122136126,0.8714269700706199,0.8261290566378451,0.8700317277184886,0.8253185999327134
TextCNN,bs32_do0.5_lr0.0005_nf100_fs4-5-6,5000,64,50,100,"4,5,6",0.5,32,0.0005,5,False,0.9194290297762281,0.8930210762654148,0.8718753502970519,0.8273083099140232,0.8712431496971446,0.8279291321882619
TextCNN,bs32_do0.5_lr0.001_nf50_fs3-4-5,5000,64,50,50,"3,4,5",0.5,32,0.001,5,False,0.9115716413756978,0.8812389787572052,0.8720995404102679,0.8256884347682022,0.86962792039227,0.8237746263377145
TextCNN,bs32_do0.5_lr0.001_nf50_fs4-5-6,5000,64,50,50,"4,5,6",0.5,32,0.001,5,False,0.92316128926648,0.8972611292538248,0.8703060195045399,0.8234133174098738,0.8678973175656187,0.8205518187262418
TextCNN,bs32_do0.5_lr0.001_nf100_fs3-4-5,5000,64,50,100,"3,4,5",0.5,32,0.001,5,False,0.8959223428113081,0.8597042359783617,0.8716511601838359,0.825278807020383,0.8698586674358235,0.8233713588874644
TextCNN,bs32_do0.5_lr0.001_nf100_fs4-5-6,5000,64,50,100,"4,5,6",0.5,32,0.001,5,False,0.9224082895447625,0.8965807289335054,0.8672794529761237,0.8192705747896339,0.8698586674358235,0.8237699672485187
TextCNN,bs32_do0.65_lr0.0005_nf50_fs3-4-5,5000,64,50,50,"3,4,5",0.65,32,0.0005,5,False,0.8963806904680057,0.8613102540617085,0.8696334491648918,0.8250476229734888,0.8676088837611768,0.8213947468105673
TextCNN,bs32_do0.65_lr0.0005_nf50_fs4-5-6,5000,64,50,50,"4,5,6",0.65,32,0.0005,5,False,0.8992126242040301,0.8637729756613014,0.8687366887120278,0.8213398552702368,0.8680703778482838,0.8206428909643403
TextCNN,bs32_do0.65_lr0.0005_nf100_fs3-4-5,5000,64,50,100,"3,4,5",0.65,32,0.0005,5,False,0.8954148864771072,0.8584956859884348,0.8685124985988117,0.8206895771524442,0.8670897029131814,0.8197131594361009
TextCNN,bs32_do0.65_lr0.0005_nf100_fs4-5-6,5000,64,50,100,"4,5,6",0.65,32,0.0005,5,False,0.9048273829985759,0.8708377030047286,0.8685124985988117,0.8189722893978866,0.8688203057398327,0.82067144918281
TextCNN,bs32_do0.65_lr0.001_nf50_fs3-4-5,5000,64,50,50,"3,4,5",0.65,32,0.001,5,False,0.9105567287072959,0.8799571024917445,0.8696334491648918,0.8232125991628679,0.8688779925007211,0.8222305539582414
TextCNN,bs32_do0.65_lr0.001_nf50_fs4-5-6,5000,64,50,50,"4,5,6",0.65,32,0.001,5,False,0.9094108595655519,0.8811070867559277,0.8691850689384598,0.8266370841607248,0.8657052206518604,0.8222672075386805
TextCNN,bs32_do0.65_lr0.001_nf100_fs3-4-5,5000,64,50,100,"3,4,5",0.65,32,0.001,5,False,0.9011114930674917,0.8679111254774763,0.8709785898441879,0.8264007461565797,0.869800980674935,0.8243820574979542
TextCNN,bs32_do0.65_lr0.001_nf100_fs4-5-6,5000,64,50,100,"4,5,6",0.65,32,0.001,5,False,0.9103766635564504,0.8803063847455639,0.8692971639950678,0.8238660214953089,0.8676665705220652,0.8213638117545701
TextCNN,bs32_do0.7_lr0.0005_nf50_fs3-4-5,5000,64,50,50,"3,4,5",0.7,32,0.0005,5,False,0.894138060862021,0.857212142106218,0.8703060195045399,0.824264482110808,0.8683588116527257,0.8211397561170725
TextCNN,bs32_do0.7_lr0.0005_nf50_fs4-5-6,5000,64,50,50,"4,5,6",0.7,32,0.0005,5,False,0.8954639951546105,0.8579709524257106,0.8697455442214999,0.8209668477495028,0.8679550043265071,0.8191533088333455
TextCNN,bs32_do0.7_lr0.0005_nf100_fs3-4-5,5000,64,50,100,"3,4,5",0.7,32,0.0005,5,False,0.8941216913028532,0.8590374951763101,0.8718753502970519,0.8280823092312004,0.8694548601096048,0.8256136959360342
TextCNN,bs32_do0.7_lr0.0005_nf100_fs4-5-6,5000,64,50,100,"4,5,6",0.7,32,0.0005,5,False,0.8959387123704758,0.8604125711057513,0.8689608788252438,0.8229392002810405,0.8703778482838188,0.8253347941790374
TextCNN,bs32_do0.7_lr0.001_nf50_fs3-4-5,5000,64,50,50,"3,4,5",0.7,32,0.001,5,False,0.8979521681481117,0.8612842132258066,0.8708664947875798,0.8228228351782588,0.8681857513700606,0.8194285656120343
TextCNN,bs32_do0.7_lr0.001_nf50_fs4-5-6,5000,64,50,50,"4,5,6",0.7,32,0.001,5,False,0.9075283602612582,0.8751751517820501,0.8697455442214999,0.8223790143467551,0.8675511970002885,0.8193671996568508
TextCNN,bs32_do0.7_lr0.001_nf100_fs3-4-5,5000,64,50,100,"3,4,5",0.7,32,0.001,5,False,0.9107531634173092,0.8804391430678252,0.8725479206367,0.8269583427279613,0.8693394865878281,0.8240013244034509
TextCNN,bs32_do0.7_lr0.001_nf100_fs4-5-6,5000,64,50,100,"4,5,6",0.7,32,0.001,5,False,0.9138306405408503,0.8853024598725066,0.8718753502970519,0.8271316301958871,0.8706085953273723,0.8257238862356274
TextCNN,bs32_do0.75_lr0.0005_nf50_fs3-4-5,5000,64,50,50,"3,4,5",0.75,32,0.0005,5,False,0.8905858665226145,0.8517451617678202,0.8695213541082838,0.8223892528337772,0.8653014133256418,0.8162343490282238
TextCNN,bs32_do0.75_lr0.0005_nf50_fs4-5-6,5000,64,50,50,"4,5,6",0.75,32,0.0005,5,False,0.8848401512547267,0.8428605038788883,0.8663826925232597,0.8169900227173043,0.8633977502163254,0.812243532492409
TextCNN,bs32_do0.75_lr0.0005_nf100_fs3-4-5,5000,64,50,100,"3,4,5",0.75,32,0.0005,5,False,0.8961842557579924,0.8612163676003549,0.8700818293913238,0.824753925820433,0.8676665705220652,0.8224925306013674
TextCNN,bs32_do0.75_lr0.0005_nf100_fs4-5-6,5000,64,50,100,"4,5,6",0.75,32,0.0005,5,False,0.8989834503756814,0.863790652893558,0.8671673579195157,0.8188388180602392,0.8678396308047304,0.8208984244280435
TextCNN,bs32_do0.75_lr0.001_nf50_fs3-4-5,5000,64,50,50,"3,4,5",0.75,32,0.001,5,False,0.8969208859205422,0.8618299068720421,0.8692971639950678,0.8243849601521017,0.868704932218056,0.822480127979866
TextCNN,bs32_do0.75_lr0.001_nf50_fs4-5-6,5000,64,50,50,"4,5,6",0.75,32,0.001,5,False,0.9033213835551409,0.8694193371178384,0.8688487837686358,0.8214031949192501,0.8685895586962792,0.8212696994414133
TextCNN,bs32_do0.75_lr0.001_nf100_fs3-4-5,5000,64,50,100,"3,4,5",0.75,32,0.001,5,False,0.9060878390544943,0.872810462420023,0.8717632552404438,0.8254588810282946,0.8701471012402654,0.8223385699530952
TextCNN,bs32_do0.75_lr0.001_nf100_fs4-5-6,5000,64,50,100,"4,5,6",0.75,32,0.001,5,False,0.907823012326278,0.8762363902750631,0.8694092590516759,0.821848574335351,0.8676665705220652,0.8202716234940141
